ASSIGNMENT_ID,EVENT_DATE,Division,EMP_FULL_NAME,Title,External_Title,Location_Country,EVENT_TYPE_CODE,EVENT_TYPE_NAME,EVENT_REASON_CODE,INTERNAL_TRANSFER_IND,CUMULATIVE_TRANSFERS,TRANSFER_SALARY_IMPACT,NGB_ANN_BASE_CHANGE_FLG,CURRENCY_CODE,CURRENCY_CHANGE_FLAG,PREV_CURRENCY_CODE,CURRENCY_CHANGED_FLAG,ANNUAL_SALARY,PREV_SAL_YEAR,PREVIOUS_SALARY,PAY_PERCENTILE,IS_UNDERPAID,SALARY_CHANGE_RATE,HIKE_AMT,MEAN_HIKE,MEAN_HIKE_PERCENTAGE,PAY_GROWTH_TREND,MEAN_SALARY,GENDER_CODE,AGE,TIME_IN_FIRM,TENURE_BUCKET,LAST_PROMOTION_DT,YEARS_SINCE_LAST_PROMOTION,HAS_RECENT_PROMOTION,IS_STAGNANT_EMPLOYEE,AVG_PROMOTION_RATE,AVG_SUP_CHANGE_RATE,YEARS_SINCE_LAST_MANAGER_CHANGE,AVG_YEARS_BETWEEN_PROMOTIONS,ATTRITION_RISK
200000000,05/27/2021,Geography,Tyler Sparks,Analyst,Analyst,USA,TRANS,Termination,TRANS:REO,N,1,Not Applicable,N,USD,Y,GBP,N,42307,2024,38877,48,0,8.82,3430,3430,8.82,Moderate Growth,42307,M,60,19,10+ years,2023-02-03,4,0,0,0.03,0.34,3,3.6,0
200000001,09/01/2020,Marketing,Gregory Smith,Senior Analyst,Senior Analyst,ARE,TRANS,New Hire,PROMO:NEW,N,3,Low,N,AED,N,INR,N,58603,2024,51216,84,0,14.42,7387,7387,14.42,Stable,58603,M,50,17,10+ years,UNKNOWN,0,0,0,0.1,0.25,2,3.2,0
200000002,10/18/2022,HR,Amber Gallegos,Director,Director,IND,TER,Transfer,TER:PROMO,N,2,Not Applicable,N,JPY,Y,USD,N,121019,2024,99520,27,0,21.6,21499,21499,21.6,Rapid Growth,121019,F,36,2,0-2 years,UNKNOWN,0,0,0,0.21,0.18,10,3.6,0
200000003,07/16/2022,Operations,Kyle Smith,Analyst,Analyst,USA,TRANS,Termination,TER:REO,N,1,Not Applicable,N,AED,N,GBP,N,49015,2024,39620,39,1,23.71,9395,9395,23.71,Stable,49015,F,64,10,8-10 years,UNKNOWN,4,0,0,0.23,0.25,2,2.8,0
200000004,05/10/2022,Geography,Douglas Miller,Senior Analyst,Senior Analyst,JPN,PROMO,Transfer,TER:TRANS,N,0,Not Applicable,N,GBP,N,JPY,N,57672,2024,48486,26,0,18.95,9186,9186,18.95,Stable,57672,M,29,17,10+ years,2023-12-24,0,1,0,0.37,0.23,5,3.7,1
200000005,08/23/2021,Technology,Luke Daniel,Senior Analyst,Senior Analyst,USA,HIRE,Transfer,TER:PROMO,Y,0,Not Applicable,N,AED,N,AED,N,52516,2024,47772,38,0,9.93,4744,4744,9.93,Moderate Growth,52516,F,42,3,2-5 years,2024-07-18,3,0,0,0.05,0.45,6,5.0,0
200000006,04/30/2021,Marketing,Douglas Wilson,Manager,Manager,USA,PROMO,Promotion,HIRE:REO,N,5,Not Applicable,N,SGD,N,JPY,N,91848,2024,81755,30,1,12.35,10093,10093,12.35,Stable,91848,M,60,16,10+ years,2025-04-04,2,1,0,0.12,0.15,5,4.8,1
200000007,02/04/2025,HR,Michael Estrada,VP,VP,USA,TRANS,Termination,TER:REO,N,4,Low,Y,AUD,N,GBP,N,160114,2024,145338,76,1,10.17,14776,14776,10.17,Rapid Growth,160114,M,40,17,10+ years,UNKNOWN,0,0,1,0.47,0.39,6,4.6,0
200000008,03/13/2021,Marketing,John Patton,Senior Analyst,Senior Analyst,USA,TRANS,Promotion,HIRE:TRANS,N,5,High,N,GBP,N,GBP,N,58768,2024,51172,31,0,14.84,7596,7596,14.84,Stable,58768,M,44,4,2-5 years,2022-08-15,0,1,0,0.01,0.4,2,4.0,0
200000009,01/17/2024,Finance,Nicholas Carr,Analyst,Analyst,ARE,TRANS,Transfer,HIRE:TRANS,N,1,Low,N,JPY,N,AUD,N,45276,2024,41346,29,0,9.51,3930,3930,9.51,Rapid Growth,45276,M,32,13,10+ years,UNKNOWN,5,0,0,0.25,0.01,2,1.5,0
200000010,09/22/2020,Marketing,Scott Fuller,Senior Analyst,Senior Analyst,IND,PROMO,Promotion,HIRE:PROMO,N,0,Medium,Y,GBP,N,GBP,N,59489,2024,51881,76,0,14.66,7608,7608,14.66,Moderate Growth,59489,M,32,9,8-10 years,UNKNOWN,3,1,0,0.07,0.04,8,4.7,0
200000011,09/16/2020,Operations,Bryan Morales,Analyst,Analyst,GBR,TRANS,New Hire,PROMO:REO,Y,4,High,N,JPY,N,USD,N,37940,2024,30830,46,0,23.06,7110,7110,23.06,Rapid Growth,37940,F,45,14,10+ years,2022-10-03,1,0,0,0.1,0.15,0,2.3,1
200000012,04/03/2021,Marketing,Corey Thomas,Manager,Manager,IND,HIRE,Transfer,PROMO:PROMO,N,4,Not Applicable,N,USD,N,USD,N,89310,2024,72517,24,1,23.16,16793,16793,23.16,Moderate Growth,89310,M,57,0,0-2 years,UNKNOWN,0,0,0,0.32,0.36,6,3.6,1
200000013,04/26/2022,Finance,Curtis Lin,Analyst,Analyst,IND,PROMO,New Hire,HIRE:NEW,Y,0,High,N,AED,N,AUD,N,30909,2024,30000,86,0,3.03,909,909,3.03,Moderate Growth,30909,F,61,15,10+ years,UNKNOWN,0,0,0,0.41,0.07,0,2.2,0
200000014,06/08/2022,Finance,Joseph Graves,Analyst,Analyst,GBR,PROMO,New Hire,TRANS:NEW,Y,0,Not Applicable,N,AUD,N,AUD,N,49899,2024,44631,66,0,11.8,5268,5268,11.8,Moderate Growth,49899,M,45,10,8-10 years,2024-03-04,1,0,0,0.0,0.17,4,2.7,0
200000015,10/03/2024,Finance,Courtney Simmons,Senior Analyst,Senior Analyst,ARE,TRANS,Transfer,PROMO:NEW,N,2,Low,N,GBP,N,SGD,N,65782,2024,55379,56,1,18.79,10403,10403,18.79,Stable,65782,M,24,19,10+ years,2025-03-21,3,0,0,0.49,0.35,1,3.8,1
200000016,09/06/2020,Operations,Jeffery Williams,Analyst,Analyst,GBR,PROMO,New Hire,TER:PROMO,N,3,Not Applicable,Y,USD,N,INR,N,49516,2024,45236,36,0,9.46,4280,4280,9.46,Moderate Growth,49516,M,43,5,2-5 years,UNKNOWN,5,1,0,0.5,0.34,7,4.5,0
200000017,03/25/2025,Operations,Jack Hahn,Manager,Manager,ARE,HIRE,Termination,TRANS:REO,N,0,Not Applicable,N,USD,N,INR,N,83479,2024,68482,84,0,21.9,14997,14997,21.9,Moderate Growth,83479,O,23,15,10+ years,2023-03-05,0,0,0,0.5,0.31,0,1.5,0
200000018,02/23/2022,Marketing,Danielle Jacobson,Analyst,Analyst,JPN,HIRE,Transfer,PROMO:REO,N,2,High,N,SGD,N,AED,N,45647,2024,40935,81,1,11.51,4712,4712,11.51,Stable,45647,F,45,1,0-2 years,2022-08-29,3,0,0,0.08,0.06,10,3.5,0
200000019,02/03/2025,Finance,Aaron Guerrero,VP,VP,USA,TRANS,Transfer,TER:NEW,N,4,Medium,N,GBP,N,GBP,N,161654,2024,153316,10,0,5.44,8338,8338,5.44,Declining,161654,O,65,0,0-2 years,UNKNOWN,5,0,0,0.35,0.19,0,4.5,0
200000020,01/10/2024,Geography,Dustin Ramirez,Analyst,Analyst,GBR,HIRE,Termination,TRANS:PROMO,N,5,Not Applicable,N,AED,N,JPY,N,45343,2024,37294,96,0,21.58,8049,8049,21.58,Moderate Growth,45343,F,51,8,5-8 years,2025-03-28,0,0,1,0.46,0.38,10,2.0,1
200000021,05/01/2022,Technology,Jessica King,VP,VP,ARE,TRANS,New Hire,PROMO:TRANS,N,5,Not Applicable,Y,INR,N,GBP,Y,168146,2024,138096,78,0,21.76,30050,30050,21.76,Rapid Growth,168146,M,59,11,10+ years,2024-02-25,4,0,0,0.17,0.26,9,2.9,1
200000022,04/11/2024,Technology,Geoffrey Rodriguez DDS,Senior Analyst,Senior Analyst,ARE,PROMO,Transfer,TRANS:NEW,N,4,Medium,N,USD,N,USD,N,54525,2024,47446,74,1,14.92,7079,7079,14.92,Declining,54525,F,23,16,10+ years,2023-06-26,0,1,0,0.36,0.08,8,3.3,1
200000023,10/28/2022,Finance,Patricia Anderson,Director,Director,USA,PROMO,Transfer,HIRE:TRANS,N,1,Not Applicable,Y,AUD,N,GBP,N,119329,2024,106966,40,1,11.56,12363,12363,11.56,Moderate Growth,119329,M,42,14,10+ years,UNKNOWN,4,0,0,0.45,0.32,0,1.2,0
200000024,07/06/2020,HR,Robert Paul,Analyst,Analyst,USA,TRANS,Promotion,HIRE:PROMO,N,1,Not Applicable,N,USD,N,GBP,N,42614,2024,34260,39,1,24.38,8354,8354,24.38,Moderate Growth,42614,M,54,18,10+ years,2024-05-27,2,0,0,0.48,0.28,2,4.2,1
200000025,10/25/2021,Marketing,Lisa Allen,Manager,Manager,GBR,PROMO,New Hire,PROMO:REO,N,2,Not Applicable,N,GBP,N,GBP,N,90864,2024,79501,83,0,14.29,11363,11363,14.29,Moderate Growth,90864,M,33,9,8-10 years,2022-09-21,2,0,0,0.12,0.07,2,2.4,1
200000026,01/20/2024,Technology,Kevin Miller,Senior Analyst,Senior Analyst,USA,TRANS,New Hire,TER:REO,N,0,Not Applicable,N,JPY,N,GBP,N,55295,2024,44925,57,0,23.08,10370,10370,23.08,Moderate Growth,55295,M,43,11,10+ years,UNKNOWN,0,0,0,0.33,0.34,10,2.3,0
200000027,05/09/2023,Operations,Mark Guzman,Senior Analyst,Senior Analyst,USA,TRANS,New Hire,TER:REO,Y,4,Medium,N,JPY,N,SGD,N,63131,2024,52790,70,0,19.59,10341,10341,19.59,Moderate Growth,63131,F,65,13,10+ years,UNKNOWN,0,0,0,0.17,0.29,10,2.9,1
200000028,10/27/2022,Operations,Warren Henson,Manager,Manager,USA,TRANS,Transfer,HIRE:NEW,Y,4,Not Applicable,N,INR,N,INR,N,84736,2024,76843,62,0,10.27,7893,7893,10.27,Moderate Growth,84736,M,46,8,5-8 years,2023-06-03,0,0,0,0.36,0.11,8,3.9,1
200000029,10/12/2021,Geography,Cheryl Griffin,Manager,Manager,USA,TRANS,New Hire,TER:TRANS,N,5,Not Applicable,Y,INR,N,INR,N,84379,2024,76854,100,1,9.79,7525,7525,9.79,Declining,84379,O,48,12,10+ years,2024-01-15,0,1,1,0.44,0.26,5,1.9,1
200000030,04/15/2022,HR,Tom Montgomery,Manager,Manager,USA,TRANS,New Hire,HIRE:REO,N,1,Not Applicable,N,AUD,N,AUD,N,88280,2024,80287,74,0,9.96,7993,7993,9.96,Moderate Growth,88280,F,63,2,0-2 years,2023-11-22,4,0,0,0.16,0.08,2,4.7,0
200000031,04/27/2023,HR,John Juarez,Analyst,Analyst,ARE,TRANS,New Hire,PROMO:PROMO,N,2,Not Applicable,N,AED,Y,SGD,N,43080,2024,34884,86,0,23.5,8196,8196,23.5,Moderate Growth,43080,F,49,20,10+ years,2025-02-02,0,0,0,0.1,0.12,1,4.6,1
200000032,04/29/2021,Geography,Brittany Anderson,Analyst,Analyst,USA,TRANS,Promotion,PROMO:TRANS,N,0,High,N,INR,N,AED,Y,45516,2024,41784,92,0,8.93,3732,3732,8.93,Rapid Growth,45516,M,37,13,10+ years,2023-12-15,1,0,0,0.41,0.14,8,1.2,0
200000033,03/31/2021,Marketing,Michael Snow,Manager,Manager,GBR,HIRE,New Hire,TRANS:PROMO,N,0,Not Applicable,Y,SGD,N,AED,N,90556,2024,78315,17,0,15.63,12241,12241,15.63,Moderate Growth,90556,M,36,20,10+ years,2025-02-08,0,0,0,0.15,0.21,9,4.1,0
200000034,09/09/2023,Marketing,Sarah Castro,Analyst,Analyst,GBR,TRANS,Transfer,PROMO:NEW,Y,1,Not Applicable,Y,JPY,N,INR,N,41115,2024,35823,81,0,14.77,5292,5292,14.77,Rapid Growth,41115,F,65,9,8-10 years,2022-11-28,0,0,0,0.47,0.16,5,4.1,0
200000035,04/12/2021,Finance,Jacob Soto,Analyst,Analyst,ARE,HIRE,New Hire,TRANS:NEW,Y,0,Not Applicable,N,JPY,N,USD,N,46355,2024,40002,10,0,15.88,6353,6353,15.88,Declining,46355,M,24,15,10+ years,2023-10-24,2,0,0,0.06,0.35,0,3.2,1
200000036,07/06/2023,Geography,Jeffrey Webb,Analyst,Analyst,USA,HIRE,Transfer,HIRE:NEW,N,2,Not Applicable,N,AED,N,AED,N,49407,2024,45877,99,1,7.69,3530,3530,7.69,Stable,49407,F,58,6,5-8 years,2022-12-25,0,1,1,0.48,0.16,4,1.2,0
200000037,05/20/2023,Geography,Tiffany Gibbs,Analyst,Analyst,USA,TRANS,Transfer,TRANS:PROMO,N,4,Low,N,GBP,Y,SGD,N,47335,2024,42695,29,0,10.87,4640,4640,10.87,Declining,47335,F,28,3,2-5 years,2024-02-15,5,1,0,0.24,0.19,9,2.4,0
200000038,09/15/2022,Operations,Donald Ponce,Senior Analyst,Senior Analyst,ARE,PROMO,Transfer,TRANS:REO,N,1,Not Applicable,Y,USD,Y,AUD,N,66406,2024,58105,59,0,14.29,8301,8301,14.29,Moderate Growth,66406,M,42,19,10+ years,2024-04-27,2,0,0,0.09,0.01,6,2.5,0
200000039,10/28/2020,Geography,Tyler Brown,Manager,Manager,ARE,PROMO,New Hire,PROMO:PROMO,Y,0,Not Applicable,N,GBP,N,USD,N,84401,2024,78082,64,1,8.09,6319,6319,8.09,Rapid Growth,84401,M,30,10,8-10 years,2024-01-26,0,0,0,0.5,0.16,7,4.0,0
200000040,05/13/2024,Finance,Cheryl Olsen,VP,VP,IND,HIRE,New Hire,TRANS:NEW,N,5,Medium,N,AED,N,SGD,Y,168357,2024,155023,78,1,8.6,13334,13334,8.6,Rapid Growth,168357,F,60,15,10+ years,2022-10-14,5,0,0,0.15,0.34,2,2.2,1
200000041,01/07/2025,Technology,Joseph Palmer Jr.,Senior Analyst,Senior Analyst,USA,HIRE,New Hire,TER:PROMO,N,5,Not Applicable,N,GBP,Y,AUD,N,65514,2024,52460,83,0,24.88,13054,13054,24.88,Rapid Growth,65514,F,39,19,10+ years,UNKNOWN,0,0,0,0.4,0.15,9,2.3,1
200000042,07/08/2021,Marketing,Jordan Hart,VP,VP,USA,HIRE,Termination,HIRE:REO,Y,4,Not Applicable,N,SGD,N,AUD,N,156542,2024,136478,43,1,14.7,20064,20064,14.7,Moderate Growth,156542,M,25,3,2-5 years,UNKNOWN,0,0,0,0.46,0.06,3,4.7,1
200000043,09/05/2023,Finance,Lawrence Clark,Manager,Manager,USA,HIRE,New Hire,TER:REO,N,3,Low,N,SGD,N,GBP,N,82966,2024,66898,92,0,24.02,16068,16068,24.02,Declining,82966,M,46,16,10+ years,UNKNOWN,0,0,0,0.01,0.24,1,4.1,0
200000044,02/15/2021,Finance,Kenneth Vargas,VP,VP,USA,TER,New Hire,PROMO:NEW,Y,1,Not Applicable,N,JPY,N,GBP,N,166895,2024,141206,65,1,18.19,25689,25689,18.19,Moderate Growth,166895,F,35,12,10+ years,UNKNOWN,3,1,0,0.21,0.31,6,2.6,0
200000045,02/25/2025,Operations,Timothy Hunt,Director,Director,USA,TRANS,New Hire,HIRE:PROMO,Y,1,Not Applicable,N,AUD,N,INR,N,124603,2024,114706,43,0,8.63,9897,9897,8.63,Rapid Growth,124603,M,30,10,8-10 years,UNKNOWN,2,0,0,0.22,0.02,0,3.5,1
200000046,12/13/2022,Finance,Michelle Green,Manager,Manager,USA,TRANS,Promotion,HIRE:TRANS,N,3,Not Applicable,N,AUD,N,AUD,N,86218,2024,81183,32,0,6.2,5035,5035,6.2,Moderate Growth,86218,M,47,2,0-2 years,UNKNOWN,1,1,0,0.35,0.17,0,1.6,0
200000047,07/14/2023,Operations,Elizabeth Adams,Senior Analyst,Senior Analyst,USA,PROMO,New Hire,TRANS:NEW,N,2,Not Applicable,Y,SGD,N,GBP,N,66983,2024,56018,23,1,19.57,10965,10965,19.57,Rapid Growth,66983,F,23,8,5-8 years,UNKNOWN,2,0,1,0.11,0.39,10,2.0,1
200000048,05/14/2025,Operations,Danny Ferguson,Analyst,Analyst,JPN,TRANS,New Hire,HIRE:NEW,Y,1,Not Applicable,Y,AED,N,INR,N,42329,2024,33999,98,0,24.5,8330,8330,24.5,Stable,42329,F,41,5,2-5 years,2024-04-23,4,1,0,0.05,0.4,3,1.5,1
200000049,02/03/2022,Geography,Mark Mcmahon,Analyst,Analyst,JPN,PROMO,New Hire,PROMO:NEW,N,4,Not Applicable,N,AED,N,AED,N,38826,2024,33403,15,0,16.24,5423,5423,16.24,Rapid Growth,38826,M,49,20,10+ years,2025-06-16,0,0,0,0.37,0.2,9,2.3,0
200000050,01/18/2021,Finance,Casey Marks,VP,VP,USA,HIRE,Transfer,HIRE:TRANS,N,4,Low,N,INR,N,GBP,N,168973,2024,143672,81,1,17.61,25301,25301,17.61,Moderate Growth,168973,F,28,10,8-10 years,2024-03-20,4,1,0,0.16,0.05,9,1.1,1
200000051,11/05/2020,Technology,William Mayo,VP,VP,AUS,TRANS,New Hire,HIRE:NEW,N,1,Medium,N,GBP,Y,AUD,N,164435,2024,148245,68,0,10.92,16190,16190,10.92,Moderate Growth,164435,F,65,15,10+ years,UNKNOWN,2,0,0,0.31,0.44,10,1.7,1
